latitude,longitude,count
41.9,-87.66,360
41.87,-87.64,225
41.88,-87.65,192
41.86,-87.64,161
41.85,-87.64,157
41.89,-87.65,145
41.81,-87.63,143
41.78,-87.63,135
41.88,-87.66,123
41.84,-87.63,119
41.79,-87.63,108
41.87,-87.72,103
41.82,-87.63,102
41.97,-87.76,88
41.85,-87.63,86
41.88,-87.68,85
41.76,-87.63,85
41.88,-87.67,83
41.71,-87.61,81
41.77,-87.63,79
41.8,-87.63,79
41.73,-87.62,77
41.87,-87.76,76
41.98,-87.79,72
41.85,-87.65,68
41.82,-87.74,67
41.83,-87.7,66
41.87,-87.73,65
41.66,-87.59,63
41.83,-87.63,63
41.97,-87.75,63
41.87,-87.65,62
41.94,-87.71,62
41.87,-87.74,61
41.98,-87.75,59
41.95,-87.72,55
41.92,-87.67,54
41.67,-87.6,54
41.88,-87.7,53
41.69,-87.6,52
41.82,-87.72,52
41.72,-87.62,50
41.97,-87.77,49
41.91,-87.66,49
41.74,-87.62,49
41.87,-87.71,48
41.75,-87.62,48
41.84,-87.68,48
41.93,-87.69,47
41.87,-87.75,46
41.84,-87.67,45
41.87,-87.77,43
41.98,-87.78,42
41.74,-87.63,42
41.96,-87.74,41
41.98,-87.81,40
41.91,-87.67,40
41.85,-87.62,37
41.83,-87.71,37
41.93,-87.7,37
41.95,-87.73,37
41.84,-87.66,36
41.87,-87.78,36
41.98,-87.8,35
41.68,-87.6,35
41.82,-87.73,34
41.7,-87.6,33
41.71,-87.59,32
41.88,-87.69,32
41.88,-87.64,32
41.75,-87.63,31
41.83,-87.69,30
41.9,-87.62,30
41.96,-87.75,28
41.98,-87.82,28
41.99,-87.75,26
41.65,-87.58,26
41.7,-87.59,26
41.98,-87.77,25
41.92,-87.68,25
41.71,-87.6,21
41.87,-87.7,20
41.72,-87.63,20
41.89,-87.66,20
41.71,-87.64,20
41.98,-87.88,19
41.71,-87.62,19
41.85,-87.61,18
41.84,-87.65,18
41.89,-87.64,18
41.87,-87.62,17
41.98,-87.83,17
41.88,-87.62,16
41.86,-87.63,15
41.91,-87.63,15
41.98,-87.84,14
41.95,-87.68,13
41.89,-87.61,13
41.83,-87.72,12
41.88,-87.63,12
41.93,-87.68,12
41.83,-87.64,11
41.81,-87.76,11
41.72,-87.64,11
41.86,-87.62,10
41.67,-87.59,9
41.7,-87.66,9
41.96,-87.73,9
41.69,-87.66,9
41.82,-87.75,9
41.92,-87.63,9
41.99,-87.66,9
41.87,-87.67,9
41.89,-87.62,9
41.96,-87.65,9
41.76,-87.62,9
41.87,-87.63,8
41.89,-87.63,8
41.84,-87.61,8
41.71,-87.58,8
41.93,-87.67,8
41.94,-87.72,8
41.81,-87.59,8
41.94,-87.64,8
41.72,-87.59,7
41.99,-87.71,7
41.8,-87.58,7
41.79,-87.8,7
41.77,-87.62,7
42.0,-87.7,7
41.95,-87.64,7
41.93,-87.63,7
41.94,-87.7,7
41.79,-87.58,7
41.99,-87.67,7
41.71,-87.63,6
41.82,-87.6,6
41.72,-87.58,6
41.95,-87.69,6
41.96,-87.69,6
41.83,-87.68,6
41.81,-87.71,6
41.79,-87.74,6
41.98,-87.85,6
41.86,-87.66,5
41.81,-87.74,5
41.97,-87.65,5
41.9,-87.67,5
41.74,-87.65,5
41.97,-87.69,5
41.9,-87.64,5
41.87,-87.69,5
41.84,-87.6,5
41.68,-87.66,5
41.91,-87.68,5
41.93,-87.66,4
41.81,-87.7,4
41.98,-87.69,4
41.98,-87.9,4
41.85,-87.67,4
41.94,-87.63,4
41.66,-87.57,4
41.78,-87.7,4
41.98,-87.66,4
41.66,-87.58,4
41.95,-87.71,4
41.71,-87.66,4
41.99,-87.65,4
42.0,-87.79,4
42.0,-87.77,4
42.0,-87.71,4
41.71,-87.65,4
42.0,-87.66,4
41.95,-87.75,4
41.9,-87.75,4
41.8,-87.72,4
41.8,-87.68,4
41.8,-87.8,4
41.75,-87.74,4
41.96,-87.66,4
41.8,-87.79,4
41.96,-87.7,3
41.99,-87.88,3
41.78,-87.57,3
41.84,-87.69,3
41.99,-87.79,3
41.96,-87.72,3
41.92,-87.76,3
41.87,-87.66,3
41.99,-87.73,3
41.84,-87.7,3
41.91,-87.62,3
41.86,-87.65,3
41.96,-87.68,3
41.82,-87.68,3
41.81,-87.73,3
42.0,-87.78,3
42.0,-87.69,3
42.0,-87.68,3
41.98,-87.89,3
41.89,-87.68,3
41.89,-87.67,3
41.78,-87.74,3
41.93,-87.64,3
41.85,-87.72,3
41.8,-87.74,3
41.79,-87.61,3
41.83,-87.61,3
41.79,-87.59,3
41.85,-87.7,3
41.79,-87.64,3
41.85,-87.68,3
41.84,-87.72,3
41.95,-87.74,3
41.74,-87.59,3
41.95,-87.67,3
41.9,-87.72,3
41.98,-87.68,3
41.93,-87.65,3
41.97,-87.66,2
41.95,-87.84,2
42.02,-87.68,2
41.91,-87.76,2
42.01,-87.67,2
41.97,-87.7,2
42.01,-87.82,2
41.9,-87.63,2
42.01,-87.68,2
41.9,-87.65,2
41.97,-87.67,2
41.97,-87.79,2
42.01,-87.7,2
41.69,-87.61,2
41.69,-87.67,2
41.95,-87.7,2
41.96,-87.71,2
41.98,-87.65,2
41.93,-87.71,2
41.93,-87.77,2
41.92,-87.64,2
41.92,-87.69,2
41.98,-87.7,2
41.94,-87.76,2
41.94,-87.73,2
41.91,-87.75,2
41.98,-87.72,2
41.99,-87.7,2
41.99,-87.69,2
41.92,-87.8,2
41.94,-87.69,2
41.98,-87.67,2
41.91,-87.73,2
41.92,-87.7,2
42.02,-87.66,2
41.75,-87.7,2
41.78,-87.72,2
41.88,-87.76,2
41.77,-87.66,2
41.77,-87.59,2
41.81,-87.72,2
41.83,-87.67,2
41.78,-87.73,2
41.73,-87.63,2
41.78,-87.69,2
41.75,-87.58,2
41.78,-87.68,2
41.8,-87.7,2
41.74,-87.74,2
41.86,-87.67,2
41.74,-87.64,2
41.8,-87.76,2
41.74,-87.72,2
41.88,-87.75,2
41.74,-87.7,2
41.77,-87.68,2
41.72,-87.6,2
41.76,-87.6,2
41.89,-87.69,2
41.75,-87.59,2
41.75,-87.66,2
41.82,-87.62,2
41.88,-87.72,2
41.72,-87.66,2
41.77,-87.8,2
41.88,-87.71,2
41.97,-87.72,1
41.69,-87.63,1
41.98,-87.71,1
41.79,-87.67,1
41.98,-87.73,1
41.98,-87.74,1
41.76,-87.65,1
41.79,-87.62,1
41.69,-87.56,1
41.66,-87.56,1
41.81,-87.61,1
41.97,-87.68,1
41.8,-87.73,1
41.81,-87.69,1
41.76,-87.68,1
41.8,-87.69,1
41.8,-87.64,1
41.97,-87.71,1
41.81,-87.66,1
41.97,-87.74,1
41.97,-87.73,1
41.79,-87.68,1
41.76,-87.66,1
41.8,-87.61,1
41.8,-87.6,1
41.81,-87.67,1
41.78,-87.6,1
41.79,-87.7,1
41.79,-87.72,1
42.0,-87.76,1
42.0,-87.75,1
41.77,-87.61,1
41.77,-87.65,1
42.0,-87.67,1
41.77,-87.67,1
42.01,-87.71,1
41.77,-87.72,1
42.01,-87.69,1
41.77,-87.74,1
42.01,-87.66,1
42.02,-87.81,1
42.02,-87.7,1
41.76,-87.59,1
42.02,-87.67,1
41.77,-87.58,1
41.77,-87.57,1
41.78,-87.8,1
41.97,-87.85,1
41.79,-87.75,1
41.79,-87.76,1
41.79,-87.77,1
41.99,-87.89,1
41.79,-87.78,1
41.99,-87.84,1
41.99,-87.78,1
42.0,-87.81,1
41.99,-87.76,1
41.76,-87.64,1
41.78,-87.64,1
41.99,-87.72,1
41.78,-87.76,1
41.78,-87.77,1
41.75,-87.6,1
41.9,-87.73,1
41.82,-87.7,1
41.93,-87.79,1
41.73,-87.68,1
41.73,-87.66,1
41.65,-87.56,1
41.71,-87.69,1
41.92,-87.66,1
41.92,-87.65,1
41.73,-87.64,1
41.73,-87.61,1
41.82,-87.67,1
41.93,-87.75,1
41.93,-87.74,1
41.73,-87.59,1
41.71,-87.7,1
41.73,-87.56,1
41.86,-87.69,1
41.86,-87.71,1
41.92,-87.71,1
41.92,-87.72,1
41.92,-87.75,1
41.87,-87.68,1
41.9,-87.68,1
41.89,-87.7,1
41.89,-87.72,1
41.89,-87.74,1
41.89,-87.77,1
41.91,-87.78,1
41.91,-87.77,1
41.88,-87.61,1
41.91,-87.7,1
41.91,-87.69,1
41.71,-87.68,1
41.91,-87.64,1
41.88,-87.77,1
41.92,-87.78,1
41.92,-87.77,1
41.74,-87.73,1
41.94,-87.84,1
41.94,-87.83,1
41.84,-87.73,1
41.83,-87.65,1
41.95,-87.66,1
41.95,-87.65,1
41.75,-87.73,1
41.96,-87.88,1
41.96,-87.84,1
41.96,-87.78,1
41.96,-87.76,1
41.75,-87.72,1
41.7,-87.69,1
41.9,-87.71,1
41.83,-87.73,1
41.82,-87.59,1
41.82,-87.65,1
41.96,-87.67,1
41.83,-87.6,1
41.84,-87.71,1
41.94,-87.81,1
41.7,-87.65,1
41.94,-87.79,1
41.94,-87.78,1
41.74,-87.71,1
41.85,-87.66,1
41.7,-87.61,1
41.85,-87.69,1
41.85,-87.71,1
41.94,-87.68,1
41.85,-87.73,1
41.84,-87.62,1
41.84,-87.64,1
41.95,-87.78,1
41.95,-87.76,1
41.74,-87.57,1
41.7,-87.62,1
41.76,-87.61,1
